Title,Description,Source,Date
Trumps shadow looms over IndiaEU trade deal,Despite strong relations between India and EU trade talks were stuck for two decades So what changed now,BBC News,2026-01-27T16:30:36Z
Realme promises days of battery from its 10001mAh phone,After teasing 10000mAh and 15000mAh concept devices Realme is ready to make those big batteries reality with the P4 Power which launches in India on January 29th with a 10001mAh capacity Realme says the P4 Power will last for three and a half days of li,The Verge,2026-01-20T08:57:34Z
Instagram and X have an impossible deepfake detection deadline,The best methods we currently have for detecting and labelling deepfakes online are about to get a stress test India announced mandates on Tuesday that require social media platforms to remove illegal AIgenerated materials much faster and ensure that all s,The Verge,2026-02-11T17:20:45Z
An iconic Indian restaurant might have to shut after 99 years Can the King save it,Supporters of Veeraswamy which has operated for almost 100 years are petitioning the King to intervene,BBC News,2026-02-01T00:56:14Z
This is Nothings flagship store in India,Nothing just inaugurated its store in Bengaluru India and I went down to the city to see what its all about and talk to Carl Pei and Akis Evangelidis about the brands retail strategy,Android Central,2026-02-14T06:30:00Z
Apple Pay Likely to Launch in India This Year,"Apple Pay is set to go live in the Indian market by the end of 2026 according to a new report by Business Standard





The service still requires regulatory approvals before it can go live in the country but Apple is reportedly working with banks regulat",MacRumors,2026-01-21T11:24:15Z
Apple Teaching Swift and Robotics Across Its India Supply Chain,"Apple today announced a new Education Hub in Bengaluru as part of an expanded effort to provide technical training and skills development for employees across its supply chain in India





Apple said the new Apple Education Hub in Bengaluru will serve as a",MacRumors,2026-02-04T12:13:58Z
Google Plots Big Expansion in India as US Restricts Visas,Alphabet is plotting to dramatically expand its presence in India nonpaywalled source with the possibility of taking millions of square feet in new office space in Bangalore Indias tech hub From a report Googles parent company has leased one office t,Slashdot.org,2026-02-03T19:02:00Z
US second lady Usha Vance announces she is pregnant with fourth child,Vance posted on social media that she is looking forward to welcoming a boy in late July,BBC News,2026-01-20T21:14:06Z
Reaction to the USIndia tariff deal,SINGAPORE Feb 3 Reuters  Indian stocks and the rupee are set for strong gains on Tuesday after a trade deal that slashes US tariffs on Indian goods to,Yahoo Entertainment,2026-02-03T02:28:21Z
King cobras take the train in India,Earths largest venomous snakes are hitching a rides to places they dont belong,Popular Science,2026-01-30T20:23:15Z
How millions are trapped in modernday slavery at sandstone quarries in India,Millions of sandstone quarry workers in India develop a deadly lung disease To treat it they are forced to take out loans that trap them for life,Business Insider,2026-02-14T13:00:01Z
OnePlus isnt going away but it may not have quite as big a presence in 2026,OPPO is changing how it positions OnePlus in North America but its business as usual in other global markets,Android Central,2026-01-20T18:42:47Z
EU India Reach Trade Deal After Nearly Two Decades,The European Union and India concluded a free trade agreement after nearly two decades of negotiations The deal is expected to double EU goods exports to,Yahoo Entertainment,2026-01-27T09:49:35Z
Chinas Xi says India China are friends partners,HONG KONG Jan 26 Reuters  Chinas President Xi Jinping said China and India were good neighbours friends and partners as he wished President Droupadi,Yahoo Entertainment,2026-01-26T03:09:57Z
Indias snakebite crisis is killing tens of thousands every year,A new report has found that 99 of healthcare workers in India face challenges administering antivenom,BBC News,2026-02-02T01:38:14Z
